Anger,Sad,Fear,Joy,Comments
0.1,0,0,0.2,"you are right about `setin`, i didn't think you was speaking not about the return type but the type of the second argument. it seems indeed to be the same type of calculation than `getin`, but it seems even more complicated to me, i have no idea if it's possible to enforce an argument type based on a calculation (i suppose it's possible but i'm not even sure ^^)."
0,0,0,0,"[you can get pretty close to the cases most people care about with a few overloads.](http://www.typescriptlang.org/play/index.html#src=interface%20cursor%3ct%3e%20%7b%0d%0a%20%20%20%20getin%3ck1%20extends%20keyof%20t%2c%20k2%20extends%20keyof%20t%5bk1%5d%2c%20k3%20extends%20keyof%20t%5bk1%5d%5bk2%5d%3e(path%3a%20%5bk1%2c%20k2%2c%20k3%5d)%3a%20t%5bk1%5d%5bk2%5d%5bk3%5d%3b%0d%0a%20%20%20%20getin%3ck1%20extends%20keyof%20t%2c%20k2%20extends%20keyof%20t%5bk1%5d%3e(path%3a%20%5bk1%2c%20k2%5d)%3a%20t%5bk1%5d%5bk2%5d%3b%0d%0a%20%20%20%20getin%3ck1%20extends%20keyof%20t%3e(path%3a%20%5bk1%5d)%3a%20t%5bk1%5d%3b%0d%0a%20%20%20%20getin(keypath%3a%20array%3cany%3e%2c%20notsetvalue%3f%3a%20any)%3a%20any%3b%0d%0a%7d%0d%0a%0d%0ainterface%20foo%20%7b%0d%0a%20%20%20%20foo%3a%20%7b%0d%0a%20%20%20%20%20%20%20%20bar%3a%20%7b%0d%0a%20%20%20%20%20%20%20%20%20%20%20%20baz%3a%20%7b%0d%0a%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20yay%3a%20number%0d%0a%20%20%20%20%20%20%20%20%20%20%20%20%7d%0d%0a%20%20%20%20%20%20%20%20%7d%0d%0a%20%20%20%20%7d%0d%0a%7d%0d%0a%0d%0adeclare%20var%20x%3a%20cursor%3cfoo%3e%3b%0d%0a%0d%0alet%20a%20%3d%20x.getin(%5b%22foo%22%5d).bar%3b%0d%0alet%20b%20%3d%20x.getin(%5b%22foo%22%2c%20%22bar%22%5d).baz%3b%0d%0alet%20c%20%3d%20x.getin(%5b%22foo%22%2c%20%22bar%22%2c%20%22baz%22%5d).yay%3b)```tsinterface cursor<t> {    getin<k1 extends keyof t, k2 extends keyof t[k1], k3 extends keyof t[k1][k2]>(path: [k1, k2, k3]): t[k1][k2][k3];    getin<k1 extends keyof t, k2 extends keyof t[k1]>(path: [k1, k2]): t[k1][k2];    getin<k1 extends keyof t>(path: [k1]): t[k1];    getin(keypath: any[], notsetvalue?: any): any;}interface foo {    foo: {        bar: {            baz: {                yay: number            }        }    }}declare var x: cursor<foo>;let a = x.getin([""foo""]).bar;let b = x.getin([""foo"", ""bar""]).baz;let c = x.getin([""foo"", ""bar"", ""baz""]).yay;```  no problemo! unfortunately it means that cursor would need to become generic. you could change it to something like```tsinterface cursor<t = any> {    // ...}```to preserve the current behavior, but i'm not an immutablejs expert."
0,0,0,0.2,"thank you for your pull request and welcome to our community. we require contributors to sign our contributor license agreement, and we don't seem to have you on file. in order for us to review and merge your code, please sign up at https://code.facebook.com/cla. **if you are contributing on behalf of someone else (eg your employer)**, the individual cla may not be sufficient and your employer may need the corporate cla signed.if you have received this in error or have any questions, please contact us at [cla@fb.com](mailto:cla@fb.com?subject=cla%20for%20facebook%2fimmutable-js%20%231471). thanks!  thank you for signing our contributor license agreement. we can now accept your code for this (and any) facebook open source project. thanks!"
0,0,0,0.1,@runtime007 thank you . it works for me . but why it works.@runtime007 it's will cause other issue . eg: backhandler can't work in product env.
0,0.1,0,0.2,"@leebyron do you have any more information on why a deep `tojson` results in slow `json.stringify` performance? i'm trying to debug something and think this might be an issue, but i want to double check my assumptions. thank you!"
0,0,0.1,0.1,why immutable.js makes assumption that collection could have function get which actually works as immutable get?
0.1,0,0,0,"@rgbkrk i already did make a pr for this, i wish someone would just go ahead and merge it"
0,0.1,0,0,"i was looking for something similar. i will just place my modification to @ntgn81 code here. ```import { fromjs, list, map, set } from 'immutable';import { path } from '../types';// mergedeep that merges arrays as sets instead or overwriting it. if only fromjs converted to set instead of list...export function mergedeeparrays (state: any, value: any): any {    const mergearrays = (data: map<string, any>, basepath: path) => {        let next: map<string, any> = data;        data.foreach((v, k) => {            const path = basepath.concat([<string> k]);            if (list.islist(v)) {                if (state.hasin(path)) {                    const current = state.getin(path);                    if (list.islist(current) && !current.isempty()) {                        state = state.setin(path, set(current).merge(v));                        next = next.deletein(path);                    }                }            } else if (map.ismap(v)) {                next = next.setin(path, mergearrays(v, path));            }        });        return next;    };    const updateddata = mergearrays(fromjs(value), []);    return state.mergedeep(updateddata);}export default mergedeeparrays;```"
0,0,0,0.2,after more digging i found that the culprit was missing `symbol.iterator` for array on android. it works after loading polyfill.
0,0.2,0,0,i have the same issue.it seems to me that it does not recognize that it's a record?
