Anger,Sad,Fear,Joy,Comments
0,0,0,0,"you only need the `on-input` event handlers if you need to keep the component state synchronized with the input fields. this can be helpful you need to show validation errors as the user is typing. if you don't need that then you can just assign keys and use `getel()` in `postsubmit()`:```js  postsubmit() {    axios.post('/api/v1/customers', {        firstname: this.getel('firstname').value,        // ...    })      .then(function (response) {        console.log(response);      })    .catch(function (error) {      console.log(error);    });  }```  yes @brrritscold, i think it is better to be explicit about what data is being sent to the backend. this allows you to put other things into `this.state` without worrying about it being submitted to the server.  there's no ""right"" answer, but the redux documentation has some good advice on organizing state: https://redux.js.org/docs/faq/organizingstate.htmlif you do decide to use redux, i would recommend a new library: https://github.com/charlieduong94/marko-reduxhope that helps!"
0,0.3,0,0.1,"@charlang thanks for the report. this looks like a bug and i should have a fix up sometime this morning.    @charlang after looking at the code a bit more, i have a few questions:1. did you mean that `object.assign` was getting sent down to the browser (not template literals)?2. this code should only get sent to the browser if you're using a `html-element.json` to define an [html custom element](https://developer.mozilla.org/en-us/docs/web/web_components/custom_elements). if so, custom elements are only supported in modern browsers, which also would include template literal support and `object.assign` support. are you using html custom elements?could you also send me an example of a component that is sending this code to the browser?thanks!"
0,0,0,0,"for your question no.1,  looks like it's template literals issue: https://developer.mozilla.org/en-us/docs/web/javascript/reference/template_literalsfor question no.2,  below is the generated code, looks like we are not using  html custom elements:/** * internal helper method to insert a script tag that assigns properties * to the dom node the precede it. */var escapescript = exports.xs;var assignpropsfunction = `    function ap_(p) {        var s = document.currentscript;        object.assign(s.previoussibling, p);        s.parentnode.removechild(s);    }`.replace(/\s+/g, ' ').replace(/([\w]) (.)/g, '$1$2').replace(/(.) ([\w])/g, '$1$2').trim();exports.p = function propsforpreviousnode(props, out) {    var cspnonce = out.global.cspnonce;    var nonceattr = cspnonce ? ' nonce=' + json.stringify(cspnonce) : '';    out.w('<script' + nonceattr + '>');    if (!out.global.assignpropsfunction) {        out.w(assignpropsfunction);        out.global.assignpropsfunction = true;    }    out.w('ap_(' + escapescript(json.stringify(props)) + ');</script>');};"
0,0,0,0.4,glad you were able to work it out @charlang. let us know if you see any other issues.
0,0,0.2,0,"[![cla assistant check](https://cla.js.foundation/pull/badge/not_signed)](https://cla.js.foundation/marko-js/marko?pullrequest=968) <br/>thank you for your submission, we really appreciate it. like many open source projects, we ask that you all sign our [contributor license agreement](https://cla.js.foundation/marko-js/marko?pullrequest=968) before we can accept your contribution.<br/>**1** out of **2** committers have signed the cla.<br/><br/>:white_check_mark: scttdavs<br/>:x: scott davis<hr/>**scott davis** seems not to be a github user. you need a github account to be able to sign the cla. if you have already a github account, please [add the email address used for this commit to your account](https://help.github.com/articles/why-are-my-commits-linked-to-the-wrong-user/#commits-are-not-linked-to-any-user)."
0,0,0,0,i've been away on another project for a while and just getting back to the project where we use marko. i have absolutely no idea what has changed since the version we are currently using (4.5.3). seems strange that so many releases have happen with no indication what was added/removed/fixed :( is there a blog post or anything?
0,0.2,0.1,0,"you can modify specific directories for `browser-refresh` to watch, by using a `.browser-refresh` configuration file.as an example, i have linked private npm packages and will watch for changes in those specific directories as well: ```{    ""watch"": [        ""./site/"",        ""./node_modules/@ranku/node-base/""    ],    ""usepolling"": false}```"
0,0,0,0,i am getting a similar error using marko 4.7.4```typeerror: cannot read property 'nextsibling' of null  at ___foreachnode(turbo-8b8dbcb21bab1dc990eb.js:9541:1)  at ___detach(turbo-8b8dbcb21bab1dc990eb.js:9532:1)  at morphchildren(turbo-8b8dbcb21bab1dc990eb.js:3721:1)  at insertvirtualnodebefore(turbo-8b8dbcb21bab1dc990eb.js:3546:1)  at morphchildren(turbo-8b8dbcb21bab1dc990eb.js:3778:1)  at insertvirtualnodebefore(turbo-8b8dbcb21bab1dc990eb.js:3546:1)  at morphchildren(turbo-8b8dbcb21bab1dc990eb.js:3778:1)  at insertvirtualnodebefore(turbo-8b8dbcb21bab1dc990eb.js:3546:1)  at morphchildren(turbo-8b8dbcb21bab1dc990eb.js:3778:1)  at morphel(turbo-8b8dbcb21bab1dc990eb.js:3979:1)  at morphchildren(turbo-8b8dbcb21bab1dc990eb.js:3758:1)  at morphel(turbo-8b8dbcb21bab1dc990eb.js:3979:1)  at morphchildren(turbo-8b8dbcb21bab1dc990eb.js:3758:1)  at morphel(turbo-8b8dbcb21bab1dc990eb.js:3979:1)  at morphchildren(turbo-8b8dbcb21bab1dc990eb.js:3758:1)  at morphel(turbo-8b8dbcb21bab1dc990eb.js:3979:1)  at morphchildren(turbo-8b8dbcb21bab1dc990eb.js:3758:1)  at morphcomponent(turbo-8b8dbcb21bab1dc990eb.js:3609:1)  at morphchildren(turbo-8b8dbcb21bab1dc990eb.js:3727:1)  at morphel(turbo-8b8dbcb21bab1dc990eb.js:3979:1)  at morphchildren(turbo-8b8dbcb21bab1dc990eb.js:3758:1)  at morphcomponent(turbo-8b8dbcb21bab1dc990eb.js:3609:1)  at morphchildren(turbo-8b8dbcb21bab1dc990eb.js:3727:1)  at morphel(turbo-8b8dbcb21bab1dc990eb.js:3979:1)  at morphchildren(turbo-8b8dbcb21bab1dc990eb.js:3758:1)  at morphel(turbo-8b8dbcb21bab1dc990eb.js:3979:1)  at morphchildren(turbo-8b8dbcb21bab1dc990eb.js:3758:1)  at morphel(turbo-8b8dbcb21bab1dc990eb.js:3979:1)  at morphchildren(turbo-8b8dbcb21bab1dc990eb.js:3758:1)  at morphel(turbo-8b8dbcb21bab1dc990eb.js:3979:1)  at morphchildren(turbo-8b8dbcb21bab1dc990eb.js:3758:1)  at morphcomponent(turbo-8b8dbcb21bab1dc990eb.js:3609:1)  at morphchildren(turbo-8b8dbcb21bab1dc990eb.js:3727:1)  at morphdom(turbo-8b8dbcb21bab1dc990eb.js:3988:1)  at func(turbo-8b8dbcb21bab1dc990eb.js:9522:1)  at ___batchupdate(turbo-8b8dbcb21bab1dc990eb.js:10613:1)  at ___rerender(turbo-8b8dbcb21bab1dc990eb.js:9505:1)  at ___update(turbo-8b8dbcb21bab1dc990eb.js:9461:1)  at updatecomponents(turbo-8b8dbcb21bab1dc990eb.js:10594:1)  at e(turbo-8b8dbcb21bab1dc990eb.js:10566:1)  at apply(turbo-8b8dbcb21bab1dc990eb.js:4294:1)  at e(app.js:13324:1)```it is not something i can reproduce easily as it doesn't always happen with the same behaviour.  i have logs in sentry recording that this is happening periodically.  my case is not related to hydrating the rendering on the server.
0,0,0,0.2,`asyncstream` has the same issue: https://github.com/marko-js/marko/blob/bcecb400778ec30fcc88075bd8276b4c83236d9c/src/runtime/html/asyncstream.js#l441-l443
0,0,0,0,the changelog is up to date now. let us know if you have any additional questions. thanks!
