Moya.Anger,Moya.Sadness,Moya.Fear,Moya.Joy,Moya.Comments
0,0,0,0.2,"this issue has been marked as stale because it has not had recent activity. it will be closed if no further activity occurs.   this issue has been auto-closed because there hasn't been any activity for at least 21 days. however, we really appreciate your contribution, so thank you for that! 🙏 also, feel free to [open a new issue](https://github.com/moya/moya/issues/new) if you still experience this problem 👍.  this issue has been auto-closed because there hasn't been any activity for at least 21 days. however, we really appreciate your contribution, so thank you for that! 🙏 also, feel free to [open a new issue](https://github.com/moya/moya/issues/new) if you still experience this problem 👍.  this issue has been auto-closed because there hasn't been any activity for at least 21 days. however, we really appreciate your contribution, so thank you for that! 🙏 also, feel free to [open a new issue](https://github.com/moya/moya/issues/new) if you still experience this problem 👍."
0,0,0,0.2,"this issue has been marked as stale because it has not had recent activity. it will be closed if no further activity occurs.   this issue has been auto-closed because there hasn't been any activity for at least 21 days. however, we really appreciate your contribution, so thank you for that! 🙏 also, feel free to [open a new issue](https://github.com/moya/moya/issues/new) if you still experience this problem 👍."
0,0.6,0,0,"for me it didn't get yet.the difference is that i'm using .getbut the problem still happens, it converts the ""?"" to ""%3f"""
0,0,0,0,"but it is in json format - your json is simply a dictionary, which is what `[string: any]` is, too. what does not work? what error do you get?<sub>sent with <a href=""http://githawk.com"">githawk</a></sub>  github will tell you there are merge conflicts in that case, and you can either fix it on github.com or locally (in the command line or any program you prefer)<sub>sent with <a href=""http://githawk.com"">githawk</a></sub>"
0,0,0,0.6,"this looks good! i'm just thinking if we should add some info that this release needs major upgrade of reactiveswift as well. what do you think?about releases - i'm cool with it. no need for an alpha i think, and one week beta should be enough, as we did it before and worked fine.  **edit:** actually, how about waiting with release and get #1521 in? it seems like a good addition and it's already a done pr i believe.  hey @nguyenducthanhtam. i think the purpose of this pr is to use the newest changes of moya that we have in development - in that case you just need to wait just a little bit more, but the beta release its on its way. after #1527 we should be ready to go. sorry for the trouble!"
0,0,0,0.3,also updated the change log as breaking changes.  you are right. i was wondering if i should update only the .resolved files. there is no issue as keeping ~> 4.0 in both podspec and cartfile. this pr is mostly to give the latest released version of the dependency at this date when using `carthage bootstrap` or `swift package resolve`  package.resolved has not been updated. it's still pointing to 2.0.1.should run 'swift package update'i created a pr #1531 for this
0,0,0,0.5,"oh, now i understand! thanks @lucas34, nice catch!   @sd10 okay, cool. as much as i'd love to have this plugin in moya 11, i don't really have much time for it either. thus, i'm gonna merge this one and we could try with beta i guess!"
0,0.2,0,0,"@zhongwuzw sorry, i am unable to track packets using wireshark. but i rewrote the same api call with alamofire and tested with same conditions, it works.the issue seems to be with the first post operation of the app.the first get operations works just fine.    can this code help? doesn't seem like a code issue as we are calling the same api again and it works.cannot share an example project as we have secured services.```swift//-------------------------------------------------------------------------// login apis - login user//-------------------------------------------------------------------------import moyalet loginprovider = networkutility.getmoyaprovider(loginapi.self)public enum loginapi {    case loginuser([string: any])    case forgotpasswordotp(string)    case resetpassword([string: any])}extension loginapi: targettype {    public var baseurl: url { return url(string: configdata.shared.geturl(forkey: defaultskeys.baseurl))! }    public var path: string {        switch self {        case .loginuser:            return configdata.shared.geturl(forkey: defaultskeys.login)        case .resetpassword:            return configdata.shared.geturl(forkey: defaultskeys.resetpassword)        case .forgotpasswordotp:            return configdata.shared.geturl(forkey: defaultskeys.forgotpasswordotp)        }    }    public var method: moya.method {        switch self {        case .loginuser:            return .post        case .resetpassword, .forgotpasswordotp:            return .put        }    }    public var task: task {        switch self {        case .loginuser(let bodyparameters),              //userlogin dictionaryrepresentation is used for this             .resetpassword(let bodyparameters):            return .requestcompositeparameters(bodyparameters: bodyparameters,                                               bodyencoding: jsonencoding.default,                                               urlparameters: [:])        case .forgotpasswordotp(let email):            return .requestcompositeparameters(bodyparameters: [user.keys.email: email],                                               bodyencoding: jsonencoding.default,                                               urlparameters: [:])        }    }    public var headers: [string: string]? {        return networkutility.getheaders()    }    public var sampledata: data {        var data: data! = nil        switch self {        case .loginuser:            data = networkutility.loadjson(jsonname: ""3.33.4success"")        case .resetpassword:            data = networkutility.loadjson(jsonname: ""resetpassword"")        case .forgotpasswordotp:            data = networkutility.loadjson(jsonname: ""verifyuser"")        }        return data    }}```"
0,0,0,0,"hi @mridul56 there is some other issues about retrying requests when auth fails. please, take a look at[how to add extension to retry with oauth?](https://github.com/moya/moya/issues/1402)[suclass moyaprovider for token refreshing](https://github.com/moya/moya/issues/1510)[creating a plugintype to handle request reauthentication](https://github.com/moya/moya/issues/744)[can i re-throw moya error or how to process errors of several async requests](https://github.com/moya/moya/issues/1429)[[help] oauth2 authentication using moya](https://github.com/moya/moya/issues/1436)let us know if you need any help."
0,0,0,0.2,"this issue has been auto-closed because there hasn't been any activity for at least 21 days. however, we really appreciate your contribution, so thank you for that! 🙏 also, feel free to [open a new issue](https://github.com/moya/moya/issues/new) if you still experience this problem 👍."
