nightmare.Anger,nightmare.Sadness,nightmare.Fear,nightmare.Joy,nightmare.Comments,
0,0.6,0,0,"@fishcharlie unfortunately, not yet :/",
0,0.2,0,0,same issue,
0.8,0,0,0,@rpascal horrible solution.,
0,0,0,0,@iamdubx would you be able to provide a cleaner solution for us?,
0,0.2,0,0,i've got the same problem  if you are checking more than 1 url - you can try reuse nightmare instance - this may save you a few seconds from my observations.,
0,0.2,0,0,"sorry, i just found you can group actions with ""use"":  https://github.com/rosshinkley/nightmare-examples/blob/master/docs/beginner/use.md",
0,0,0,0,@lai32290  this helped #1082,
0,0,0,0,@matthewmueller code execution and object serialization and inspection immediately come to mind. try passing an object of any complexity back to the app using the devtools protocol and you'll start to feel some of the pain. other than that i can't recall specifically what else i had in mind - my post up there was just about 6 months ago - but the limitations and baked-in advantages to electron over the devtools is pretty thoroughly documents on the interwebs and the googs.,
0,0.2,0,0,"@nquoctuan i just run into the same issue. the passed preload script replaces [nightmare preload script](https://github.com/segmentio/nightmare/blob/master/lib/preload.js), so just load it from top of your preload script. that works for me.```require('nightmare/lib/preload')```",
0,0.1,0,0.1,"i have not found a solution to the .csv download problem however, by overwriting the form data using `.evaluate()` i was able to download the file in the same frame",
0,0.1,0,0,the problem occurred because i was running electron from the terminal integrated in the atom ide.,
0,0,0,0,when will it be pushed to npm?,
0,0,0,0.2,this feels like a pretty common use of the api. might be worth noting in the tutorial/docs.,
0,0,0.2,0,"@ejcx while it's not published to npm, every package (on windows) using nightmare as a dependency is still vulnerable.can you tell us when you might be able to push the patch to npm and if you plan to deprecate the previous releases?thanks for your time.",
0,0,0,0.6,"ok, moved to puppeteer, it's working great! a few gotchas in automation, but it's good now.",
0,0,0,0,"fyi this was a cors issuecypress.io gets around this by allowing cors to be disabled:`{ ""chromewebsecurity"": false }` - inside cypress.json",
0,0,0,0,"this is a __browser automation tool__ not a test runner.there are may usages of this. crawler, debug, test runner is one of those, so no need to change readme.",
0,0,0,0,"this issue should be re-opened and resolved, otherwise i'm going with puppeteer or chromeless  @nylen yep puppeteer looks like the way to go",
0,0,0,0,@tforbus can you post the full code? when i follow the suggestions here i get:`typeerror: fn is not a function`,
0,0,0,0,note that it seems sandboxing require root,
0,0,0,0,"you'll have to elaborate on ""the first of n selectors"". i understand what you've stated to mean, when any one of a number of selectors is found. if that is the case, that is exactly what this pr does.  i see both cases having merit, but for me this is the most useful case. i have been having troubles when navigating to a page where it can be one of two pages. .wait() with a fixed delay => .evaluate is unreliable, so being able to look for 'this' or 'that' is a reliable alternative. the most common use i see, is login success/fail, and waiting for either page. i'm also using it for a gradual rollout on ci/cd, and detecting the old version vs new version. i also see these cases being more common than a .wait() with multiple selectors for all, but i am obviously biased.this pr is about 20 lines, very 'cheap', and doesn't modify any existing functionality. would love to see it in the codebase, but if i'm the only one, i'll see if i can make it into an external module.",
0,0,0,0,:hand:  @idchlife   so ... yeah: `nightmare electron child process exited with code 1: general error - you may need xvfb`it seems like there should be an alternative for running headless browser testing.. why do we have to install electron to do so? lynx!?!?!?!,
0,0,0,0,@k1r0s take a look at puppeteer i like it a lot. its similar to nightmare https://github.com/googlechrome/puppeteer,
0,0.4,0,0,unfortunately we don't use jasmine or whatever that is :) we use tape which does not have setup/teardown methods.what kind of race condition are you worried about?,
0,0,0,0.2,"@matthewmueller actually i resolved this error in the topic somewhere here... anyway, this issue is not relevant, for more info for those experiencing issue: do remember, you do not need using xvfb.startsync() manually, find the solution, it's out there. this issue was a long time ago and i can't at the moment find code but solution exists and it's on the internet.",
0,0,0,0,"still get them. it's supposed to show me title only if it loads.loads okay first time. stops loading from second time.then changed proxy/vpn, loaded first time, stopped from second time.![image](https://user-images.githubusercontent.com/8284972/36393066-376df15a-15d8-11e8-90df-9834c4d923d5.png)",
0.1,0,0.2,0,no progress ?,
0,0,0,0,"if it helps, here’s a version of @ri0ter’s link from the initial post that has the highlight in the correct place: https://github.com/segmentio/nightmare/blob/dbb1b6413389eb551b9bc361d66b316172f4dbb8/lib/frame-manager.js#l102-l106the frame manager works by highlighting and unhighlighting a portion of the page (in the top left corner) to force a frame (in animation terms, not geometry terms) to be rendered, which ensures that the frame buffer in the browser process (not renderer process, which is already good) is up-to-date.unfortunately, the frame manager signals that its done its job after sending the command to hide the highlight, but not before waiting for *a frame where the highlight is hidden.* so sometimes the frame you get in the captured screenshot has the highlight, which is the pixel @ri0ter is talking about.as noted before, [the fix described in my first commment on #955](https://github.com/segmentio/nightmare/issues/955#issuecomment-274200822) is the solution to this problem (short of fixing electron so that calls to capture the page always have an up-to-date frame buffer, which was a hard problem a year ago—not sure if chromium internals have changed enough to make that easier now).  if the merged pr you are referencing is #945, it does not solve this issue (though it was blocking the solution/the work for this issue).",
0,0,0,0,i am just adding my 2 cents that i have never had wait('selector') work until i changed the `pollinterval ` value to 50 as sbacic detailed above. this indicates there is still an issue that default pollinterval of 250 is not sufficient or there is a bug.,
0,0,0,0,"`➜ zhichongliang@zhichongmacmini   npm view nightmare version2.10.0➜ zhichongliang@zhichongmacmini   node test_index.jsprocess start ok...proxy : localsearch failed: { message: 'navigation error',  code: -3,  details: '',  url: 'https://finance.qq.com/a/20180124/027737.htm' }`i have already update nightmare to 2.10.0, but however it came the same error.",
0,0,0.2,0,"i got a way to save the response data, [url,](https://docs.slimerjs.org/current/api/webpage.html#webpage-onresourcereceived) but i wonder how can i solve this with nightmare or electron ???",
0,0,0,0,should i be using a function other than `evaluate_now`?,
0,0,0,0.2,alright - thank you @matthewmueller,
0,0,0.1,0,i'm still seeing this on osx with 2.10.0.,
0,0,0,0,this is just the way that chrome renders strings split over multiple lines in a tag.,
0,0,0,0,"hey, at the end i did it like this .evaluate(() => array.from(document.queryselectorall('.xd')).map(element => element.innertext))",
0,0.1,0,0,the plugin doesn't work inside an iframe: https://github.com/rosshinkley/nightmare-upload/issues/9  https://github.com/rosshinkley/nightmare-upload didn't work when inside an iframe: https://github.com/rosshinkley/nightmare-upload/issues/9,
0,0,0,0.3,just run this code. works fine in vagrant ubuntu 16.04 with node 8.9.4.,
0,0.3,0,0,@paul-hess i tried it. it does not work even with `new` keyword.,
