sqlitebrowser.Anger,sqlitebrowser.Sadness,sqlitebrowser.Fear,sqlitebrowser.Joy,sqlitebrowser.Comments,
0,0,0,0.1,"thank you for quick fix. with checkin feda40816 all ""test rows"" seem to be behaving ok.4th row now reports ""blob"" label, edit database cell returns correct string length and row field seem to be protected aganst data loosing edits. thanks.",
0,0,0,0,"i wonder... is there any database around that requires every identifier to be quoted no matter what?i don't recall i've ever needed to use quotes. not in ingres, oracle, ms access, ms sql server, mysql, sqlite...",
0,0,0,0,"i was able to build a version with sqlcipher support in ubuntu following the indications of @justinclift.for anyone interested in details, take a look [here][1][1]: https://stackoverflow.com/questions/48105035/sqlite-browser-without-sqlcipher-support-in-ubuntu",
0,0,0,0,"note that programs can request a different scaling behaviour from windows to effectively get bitmap scaling of the 100% scale version rather than application awareness of the actual target-scale pixels. you can get this in qt 5 apps with stock qt command line parsing by passing e.g. `-platform windows:dpiawareness=1` (see https://doc.qt.io/qt-5/highdpi.html#microsoft-windows). just updating the installed shortcut to use this would be an acceptable update until the ui layouts can be reworked to scale properly.as a workaround, a user can force bitmap scaling for this application manually in windows' compatibility options:1. search for ""db browser for sqlite"" in the start menu2. right-click on the shortcut and choose properties3. go to the compatibility tab4. under settings, check ""override high dpi scaling behavior. scaling performed by:"" and choose system from the drop-down5. click ok.on subsequent runs, the application will be bitmap scaled when the window is on a monitor with a scale other than 100%.        this doesn't require a high dpi monitor -- you should be able to reproduce on any monitor; just set the scaling as noted.  doing some further testing in a vm where i can more easily test a variety of monitor configurations, i figured out that this doesn't happen in a single monitor setup -- only in a multi monitor setup where scaling is set differently on different monitors.",
0,0,0,0.6,"definitely a dupe, closing.and also thanks for the fix!  looks great, thank you!",
0,0,0,0.4,"@mgrojo the result is awesome. thank you a lotthere are now some bits here and there which need some tweaking. the fetch-all button is not working properly now:https://we.tl/yppuavtxwrso, now that we have reached this amazing point, now i will throw you another challenge to think about:two or more parametric curves:![image](https://user-images.githubusercontent.com/18152095/34664414-0ce7712e-f45c-11e7-8b9e-2e3fab3dd723.png)you would need for curve 1, x1 and y1, for curve 2, x2 and y2.🕺 (btw, in my case, i don't see any loss in plotting functionality)",
0,0.7,0,0,@justinclift sorry guys i guess i have to reimport the project in new one. apologies for taking so long.,
0,0,0,0,"+1 to this. i'm not sure it should be labeled as an enhancement. right now, it blocks development with db browser as i can't find a way to add the 2-column unique constraint.as a workaround, it would be useful if one could modify the generated create statement for a table. that would allow the user to tweak it manually.",
0,0,0.1,0,"so there is no fix for the [bzr git import bug ](https://bugs.launchpad.net/ubuntu/+source/bzr-git/+bug/1084403).tried multiple things. * package builds for git repos on launchpad endsup in never ending wait.* recreating and reimporting the project didn't worked as of signed commit, which i assume is not supported by launchpad.creating a workaround for nightly builds. hopefully will finish by the evening.can i get a sample db file to test sqlcipher ??thank you guys for so much patience.   > definitely, just emailed one to you directly. :smile:thanks! it looks sqlcipher is working now. finishing up the automated script to upload packages daily from my computer.  > awesome. reading through that bzr-git bug... ouch. it's good they've gone with direct git support instead, as that should work for the foreseeable future. :smile:also experimented with their git repos. recipe was not working on that. so created a local script to push packages to the ppa.i will add this script to cron.",
0,0,0,0,"resizing the window has no effect on the obscured text.![big screenshot](https://user-images.githubusercontent.com/1845104/34896935-8684056e-f7a0-11e7-9506-945b8d2ebfe2.png)  when i move the window to the primary monitor, it scales the text down which fixes the layout, but when i move it back to the monitor with 150% scale, it scales the text up which breaks the layout again. to be precise, the layout changes happen when the center point of the window crosses the boundary between the monitors.",
0,0.1,0,0,"sure, will test once there's a build available  yeah, no change with the 2018 jan 13 build, unfortunately.",
