stf.Anger,stf.Sadness,stf.Fear,stf.Joy,stf.Comments
0,0,0,0,what is approx. price and what else will be included (if any)?
0,0,0,0.02248,@sorccu looks like we need to remake everything. our developer who worked on this feature is not available now and won't be accessible for several months. is it available that you accept this pull request and refactor it to your liking? feature works fine now.if not - then we will fix it when dev'll be available.
0,0,0,0,one of the solutions may look this (stf modification is not needed):1. for 50 devices you will probably need several providers: https://github.com/openstf/stf/blob/master/doc/deployment.md2. you can create your own service which communicates with stf using [api](https://github.com/openstf/stf/blob/master/doc/api.md). after selecting devices you retrieve the remote debug url for all the devices.3. assuming that you have apk uploaded and devices connected via adb to your back-end you can use tools like [composer](https://github.com/gojuno/composer) to install apk and run tests simultaneously on all the devices.
0.014242424,0,0,0,"issue confirmed on google chrome 63.0.3239.84.apart from the autocomplete popup being really annoying, the fact that the password autocomplete inserts a saved password to the application with on wrong click is a serious problem for me.as we use stf on a company domain, all the other company system's login details are offered."
0,0,0,0,"the phone connected the pc with a 3mm audio cable, and the service running on the pc received the pcm data from the usb handle, then you can transform the pcm data to web format.below is my demo code:package mainimport (    ""fmt""    // ""io/ioutil""    ""encoding/binary""    ""os""    ""time""    ""github.com/google/gousb""    ""github.com/youpy/go-wav""    ""gopkg.in/hraban/opus.v2"")var (    capturenum = 500    samplerate = 48000    channelnum = 1    samplebits = 16    opusframesize = 480)func writeusbdatatosamples(usbdata []byte) []wav.sample {    samples := make([]wav.sample, 0)    for i := 0; i < len(usbdata); i += 2 {        sample := wav.sample{}        sample.values[0] = int(usbdata[i])        sample.values[0] = int(usbdata[i+1])        samples = append(samples, sample)    }    return samples}func convertbytestoint16(inputdata []byte) []int16 {    outputdata := make([]int16, 0)    inputdatalength := len(inputdata)    for index := 0; index < inputdatalength-1; index += 2 {        outputdata = append(outputdata, int16(binary.littleendian.uint16(inputdata[index:index+2])))    }    return outputdata}func main() {    var readbuffer = make([]byte, 4096)    vid, pid := gousb.id(0x0d8c), gousb.id(0x0014)    context := gousb.newcontext()    defer context.close()    device, err := context.opendevicewithvidpid(vid, pid)    if err != nil {        fmt.println(err)    }    device.setautodetach(true)    confignum, _ := device.activeconfignum()    config, _ := device.config(confignum)    intf, err := config.interface(2, 1)    if err != nil {        fmt.println(""config.interface err: %s"", err.error())    }    endpoint, err := intf.inendpoint(2)    if err != nil {        fmt.println(err)    }    pcmbytesbuffer := make([]byte, 0)    begintime := time.now()    for i := 0; i <= capturenum; i++ {        readlen, err := endpoint.read(readbuffer)        if err != nil {            fmt.println(""read readbuffer err: %s"", err.error())        } else {            // fmt.println(""readlen "", readlen)            pcmbytesbuffer = append(pcmbytesbuffer, readbuffer[:readlen]...)            if err != nil {                fmt.println(""write err: %s"", err.error())            }        }        // time.sleep(time.millisecond * 10)    }    duration := time.now().sub(begintime).seconds()    fmt.println(""pcmbytesbuffer len: "", len(pcmbytesbuffer))    fmt.println(""duration: "", duration)    fwav, _ := os.openfile(""output.wav"", os.o_rdwr|os.o_create, 0777)    writer := wav.newwriter(fwav, uint32(len(pcmbytesbuffer)), uint16(channelnum), uint32(samplerate), uint16(samplebits))    writer.write(pcmbytesbuffer)    fwav.close()    fpcm, _ := os.openfile(""output.pcm"", os.o_rdwr|os.o_create, 0777)    fpcm.write(pcmbytesbuffer)    fpcm.close()    pcmint16data := convertbytestoint16(pcmbytesbuffer)    enc, err := opus.newencoder(samplerate, channelnum, opus.appvoip)    if err != nil {        fmt.println(""opus.newencoder err: "", err.error())    }    fmt.println(""pcmint16data length "", len(pcmint16data))    opusoutput := make([]byte, 0)    opusdata := make([]byte, 4096)    encodednumsum := 0    for encodednumsum+opusframesize < len(pcmint16data) {        encodednum, err := enc.encode(pcmint16data[encodednumsum:(encodednumsum+opusframesize)], opusdata)        if err != nil {            fmt.println(""enc.encode err "", err.error())            break        }        fmt.println(""encodednum "", encodednum)        opusoutput = append(opusoutput, opusdata[:encodednum]...)        encodednumsum += opusframesize    }    fmt.println(""opusoutput length "", len(opusoutput))    fopus, _ := os.openfile(""output.opus"", os.o_rdwr|os.o_create, 0777)    fopus.write(opusoutput)    fopus.close()}"
0,0,0,0,"@thinkhy i deployed stf depending on https://github.com/openstf/stf/blob/master/doc/deployment.md.i have 50 provider role machine (10 devices per provider), the devices are not connected to single machine directly. but i only have one app role machine, is that the problem? what is the maximum devices can connect to one stf app role? 500? 1000? is there any practical experience with that scale?"
0,0,0,0,thank you very much~  it is useful :)
0,0,0,0,"any update on this matter ? same issue here. i need sim card inside the phone to install/dev apps on the phone too. i have unpacked new redmi note 5a with android 7.1.2 n2g47h (2017-12-01) and muiu 9.2.1.0 ndfmiek and the issue persist . in android studio install_failed_user_restricted, which implies the admin app has not permitted such operation. and in xiaomi phone it is part of miui as i recall."
0,0,0,0,"you're right. there is nothing you can add to this matter. i have researched about it a bit more and this is really an issue of miui 8+. they have added verification on chinese servers and gather unique id (uuid) of the phone on unlock of unknown souce apk. this  uuid is generated from sim card secure element and thus you need a sim card indeed. foremost thanks for really fast answer 😉 so for anybody else reading this, you need any sim card inside. there is no need for sim card to be active on cellular. on the other hand internet connection is required too."
0,0,0,0,i've understood and finished a demo.
